Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 3e-06}
====================================================================================================
out_proj.weight tensor(0.6374, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.4539, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(50.7541, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(14.1023, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.2815, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(10.3131, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(18.7009, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.2950, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(6.9576, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.0211, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.0835, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(8.4460, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.9022, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(19.8433, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.8560, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.0302, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(11.8178, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(11.3210, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.0873, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(18.9905, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.4557, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.8944, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.9187, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.0532, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.8669, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.4554, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(22.7083, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(89.7870, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.3676, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.3368, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(327.7590, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.2062, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(6.5935, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(22.3268, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(18.2639, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(42.4890, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(1.6829, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.0303, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(21.9017, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.5103, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.7092, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.1824, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.6611, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.4118, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(4.2132, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.2500, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(13.2628, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.7707, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.5855, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(23.9759, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.3757, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(99.9994, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(11.1965, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.7922, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.9874, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(20.9819, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(97.5415, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.4908, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(16.5055, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(27.1172, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.4255, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(4.0066, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(13.1267, device='cuda:0')
step 20 | loss 10.5657 | norm 27.3876 | time 1117.2628ms
decoder_stack.0.mlp.l2.weight tensor(15.0210, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.1448, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(70.4165, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.9801, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(17.1812, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(202.9067, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(247.6574, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(229.6338, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.1648, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(29.3172, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(16.0014, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.4985, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.2676, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(4.8676, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(9.1239, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(15.5006, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(62.0558, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(24.7196, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(6.8194, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(24.9206, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(40.8225, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(84.7142, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(15.6518, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.1624, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.3654, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(6.2344, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.5231, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(14.0794, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(168.3942, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(23.0210, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(18.0760, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.5177, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(78.5639, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(7.2505, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(70.4131, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(7.3403, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(208.1741, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(10.9539, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.5455, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.9450, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(5.1195, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.1182, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.4383, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(26.0023, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.9046, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(188.1682, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(9.2136, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(7.9710, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.7246, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(17.5198, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(12.0560, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(7.4880, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(31.2682, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.6193, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.7758, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(23.1147, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.7376, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(15.1117, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(4.0841, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.4619, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.4613, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.4823, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(9.0538, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(150.8986, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(11.2282, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.7144, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(97.4316, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(41.0163, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(20.9237, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(136.4940, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(14.9605, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.1443, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(11.3258, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(215.5083, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(7.2184, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(2.9478, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.7561, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(7.0616, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.0632, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(13.9942, device='cuda:0')
step 30 | loss 10.3853 | norm 32.8123 | time 1107.9760ms
decoder_stack.0.attn.wk.weight tensor(12.1925, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.0088, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(10.9936, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(23.9460, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(15.7640, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(20.1859, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(17.3888, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.8347, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.6195, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(12.4383, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(28.5189, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(29.0904, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.5058, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(1.8663, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.0916, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(20.6434, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(9.4035, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.5065, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(36.9833, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(2.1918, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1.7849, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(36.7068, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(11.9678, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(21.1447, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.9868, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(81.5677, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(55.5923, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(9.5044, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(53.9555, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.7482, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1496.7113, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(19.5917, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(19.4861, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(26.5228, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.2247, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(7.8855, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(26.6148, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(11.5146, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(116.6198, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(64.5864, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(361.2860, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(94.6059, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.2348, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(181.5987, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.0786, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(45.5222, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.5414, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(18.8193, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.8049, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(22.3059, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(36.1495, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(14.3922, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(23.1576, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(25.3871, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(110.5889, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(87.1939, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(29.1679, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(33.1198, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.8429, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(12.3835, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(45.8310, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(22.6730, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(309.0522, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(74.8574, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(15.5347, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(1125.0192, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(32.3602, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(146.6697, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(63.1019, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.6677, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(16.4482, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.9076, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.7256, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(9.2641, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2307.7458, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.6806, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(85.8350, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(5.3021, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(7.3097, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(310.1254, device='cuda:0')
step 40 | loss 10.2959 | norm 613.4254 | time 1145.3757ms
decoder_stack.0.attn.wq.weight tensor(4.7937, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(48.6881, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(12.1648, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(12.7247, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(31.5863, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(8.9956, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(254.6810, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(13.2643, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(11.2466, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(501.8137, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(3.8090, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(10.7625, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.1783, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(3.5204, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(19.0243, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(90.2923, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(12.2408, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.0103, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(50.0607, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.2860, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(100.2800, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(4.3383, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(27.8114, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(14.5751, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(15.1201, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(4.3831, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(7.2625, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(187.7812, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(15.9123, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(36.3841, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(55.5997, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(529.5239, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(31.1813, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(18.0065, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(15.3296, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(4.5880, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(50.1360, device='cuda:0')
decoder_stack.0.attn.wk.weight tensor(31.4258, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(6.7470, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(36.1442, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(3.8468, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(93.2157, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(310.2407, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(44.5366, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(37.7381, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(5.9410, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.1361, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(46.3926, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(25.6851, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(47.2187, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(2.9442, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(324.2374, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(225.0095, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(8.1511, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(8.3509, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(25.6749, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(520.9628, device='cuda:0')
decoder_stack.0.attn.wq.weight tensor(18.8130, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(79.9714, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(10.5437, device='cuda:0')
decoder_stack.0.mlp.l2.weight tensor(7.6756, device='cuda:0')
